file	key	previous_hungarian	revised_hungarian	english_source
activerecord.yml	activerecord.attributes.budget/heading.name	Címsor	Címsor neve	Heading name
activerecord.yml	activerecord.attributes.budget/heading.max_ballot_lines	Szavazás megengedett	Szavazatok engedélyezettek	Votes allowed
activerecord.yml	activerecord.attributes.budget/heading/translation.name	Címsor	Címsor neve	Heading name
activerecord.yml	activerecord.attributes.budget/phase.starts_at	Kezdő dátum	Kezdés dátuma	Start date
activerecord.yml	activerecord.attributes.budget/phase/translation.summary	Összefoglaló	Összegzés	Summary
activerecord.yml	activerecord.attributes.budget/phase/translation.main_link_text	Szöveg a linkre	Szöveg a linken	Text on the link
activerecord.yml	activerecord.attributes.budget/phase/translation.main_link_url	A link elviszi (hozzá egy link)	A link ide visz (link hozzáadása)	The link takes you to (add a link)
activerecord.yml	activerecord.attributes.debate.tag_list	Téma	Témák	Topics
activerecord.yml	activerecord.attributes.debate/translation.title	Vitacím	Vita címe	Debate title
activerecord.yml	activerecord.attributes.debate/translation.description	A vita első szövege	Kezdeti vita szövege	Initial debate text
activerecord.yml	activerecord.attributes.proposal.responsible_name	A javaslatot benyújtó személy teljes neve	Az ajánlatot benyújtó személy teljes neve	Full name of the person submitting the proposal
activerecord.yml	activerecord.attributes.proposal.selected	Jelölje be a kijelölést	Jelölje meg kiválasztottként	Mark as selected
activerecord.yml	activerecord.attributes.proposal.video_url	Külső videó URL	Külső videó URL-je	External video URL
activerecord.yml	activerecord.attributes.proposal/translation.title	A javaslat címe	Javaslat címe	Proposal title
activerecord.yml	activerecord.attributes.proposal/translation.description	A javaslat szövege	Javaslat szövege	Proposal text
activerecord.yml	activerecord.attributes.proposal/translation.summary	A javaslat összefoglalása	Javaslat összefoglalója	Proposal summary
activerecord.yml	activerecord.attributes.user.email	E-mail	Email	Email
activerecord.yml	activerecord.attributes.user.password_confirmation	Jelszó megerősítés	Jelszó megerősítése	Password confirmation
activerecord.yml	activerecord.attributes.user.email_digest	A javaslatról szóló értesítések összefoglalása	Összefoglalót kaphat az ajánlatokról szóló értesítésekről	Receive a summary of proposal notifications
activerecord.yml	activerecord.attributes.user.email_on_comment	Értesítsen e-mailben, ha valaki kommentálja a tartalmamat	Értesítsen e-mailben, ha valaki megjegyzést fűz a tartalmaimhoz	Notify me by email when someone comments on my contents
activerecord.yml	activerecord.attributes.user.newsletter	A vonatkozó információk e-mailben történő fogadása	Kapjon releváns információkat e-mailben	Receive relevant information by email
activerecord.yml	activerecord.attributes.user.official_position_badge	A hivatalos helyzetjelzés megjelenítése	Mutasd a hivatalos pozíció jelvényt	Show official position badge
activerecord.yml	activerecord.attributes.user.public_activity	Tevékenységeim listája legyen nyilvános	Tartsa nyilvánosan a tevékenységek listáját	Keep my list of activities public
activerecord.yml	activerecord.attributes.user.public_interests	Tartsa az elemeket követem nyilvánosan	Az általam követett elemek nyilvánosak legyenek	Keep the elements I follow public
activerecord.yml	activerecord.attributes.user.recommended_debates	Ajánlja a vitákat.	Ajánlj nekem vitákat	Recommend debates to me
activerecord.yml	activerecord.attributes.user.recommended_proposals	Javasoljon nekem javaslatokat	Ajánljatok nekem javaslatokat	Recommend proposals to me
activerecord.yml	activerecord.attributes.poll.ends_at	Záró dátum	Zárás dátuma	Closing Date
activerecord.yml	activerecord.attributes.poll.geozone_restricted	Gozone által korlátozva	Geozone által korlátozott	Restricted by geozone
activerecord.yml	activerecord.attributes.poll.summary	Összefoglaló	Összegzés	Summary
activerecord.yml	activerecord.attributes.poll/booth.location	Hely	Elhelyezkedés	Location
activerecord.yml	activerecord.attributes.poll/translation.summary	Összefoglaló	Összegzés	Summary
activerecord.yml	activerecord.attributes.poll/question.summary	Összefoglaló	Összegzés	Summary
activerecord.yml	activerecord.attributes.poll/question.external_url	További dokumentáció	Link a kiegészítő dokumentációhoz	Link to additional documentation
activerecord.yml	activerecord.attributes.poll/ballot_sheet.data	CSV-adatok	CSV adatok	CSV data
activerecord.yml	activerecord.attributes.poll/ballot_sheet.officer_assignment_id	Tiszti megbízatás	Tiszti megbízás	Officer assignment
activerecord.yml	activerecord.attributes.signature_sheet.signable_id	Jelölhető azonosító	Aláírható azonosító	Signable ID
activerecord.yml	activerecord.attributes.signature_sheet.document_numbers	Dokumentumok száma	Dokumentumok számai	Documents numbers
activerecord.yml	activerecord.attributes.sdg/phase/kind.sensitization	Érzékenység	Szenzibilizáció	Sensitization
activerecord.yml	activerecord.attributes.sdg/phase/kind.monitoring	Ellenőrzés	Monitoring	Monitoring
activerecord.yml	activerecord.attributes.site_customization/page.slug	Keresőbarát azonosító	Meztelen csiga	Slug
activerecord.yml	activerecord.attributes.site_customization/page.status_draft	Táblázat	Piszkozat	Draft
activerecord.yml	activerecord.attributes.site_customization/page.status_published	Megjelent	Közzétett	Published
activerecord.yml	activerecord.attributes.site_customization/page.more_info_flag	A help oldal megjelenítése	Megjelenítés a súgó oldalon	Show in help page
activerecord.yml	activerecord.attributes.site_customization/page.print_content_flag	A tartalom nyomása	Tartalom nyomtatása gomb	Print content button
activerecord.yml	activerecord.attributes.site_customization/content_block.locale	lokál	locale	locale
activerecord.yml	activerecord.attributes.tag.name	A téma neve	Írja be a téma nevét	Type the name of the topic
activerecord.yml	activerecord.attributes.tenant.domain	Terület	Domain	Domain
activerecord.yml	activerecord.attributes.tenant.schema	Terület / Alterület	Domain / Aldomain	Domain / Subdomain
activerecord.yml	activerecord.attributes.tenant.subdomain	Alterület	Aldomain	Subdomain
activerecord.yml	activerecord.attributes.topic.description	Első szöveg	Kezdő szöveg	Initial text
activerecord.yml	activerecord.attributes.banner.background_color	Háttér színe	Háttérszín	Background color
activerecord.yml	activerecord.attributes.banner.post_ended_at	A bejegyzés vége:	A bejegyzés ekkor ért véget	Post ended at
activerecord.yml	activerecord.attributes.banner.target_url	Kapcsolat	Link	Link
activerecord.yml	activerecord.attributes.legislation/process.title	A folyamat címe	Folyamat címe	Process Title
activerecord.yml	activerecord.attributes.legislation/process.summary	Összefoglaló	Összegzés	Summary
activerecord.yml	activerecord.attributes.legislation/process.additional_info	További információk	További információ	Additional info
activerecord.yml	activerecord.attributes.legislation/process.start_date	Kezdés	Indul	Start
activerecord.yml	activerecord.attributes.legislation/process.debate_start_date	Kezdés	Indul	Start
activerecord.yml	activerecord.attributes.legislation/process.draft_start_date	Kezdés	Indul	Start
activerecord.yml	activerecord.attributes.legislation/process.draft_publication_date	A közzététel tervezete	Tervezet megjelenési dátuma	Draft publication date
activerecord.yml	activerecord.attributes.legislation/process.allegations_start_date	Kezdés	Indul	Start
activerecord.yml	activerecord.attributes.legislation/process.proposals_phase_start_date	Kezdés	Indul	Start
activerecord.yml	activerecord.attributes.legislation/process.result_publication_date	A végeredmény közzétételének időpontja	A végeredmény közzétételének dátuma	Final result publication date
activerecord.yml	activerecord.attributes.legislation/process.background_color	Háttér színe	Háttérszín	Background color
activerecord.yml	activerecord.attributes.legislation/process/translation.title	A folyamat címe	Folyamat címe	Process Title
activerecord.yml	activerecord.attributes.legislation/process/translation.summary	Összefoglaló	Összegzés	Summary
activerecord.yml	activerecord.attributes.legislation/process/translation.additional_info	További információk	További információ	Additional info
activerecord.yml	activerecord.attributes.legislation/process/translation.milestones_summary	Összefoglaló	Összegzés	Summary
activerecord.yml	activerecord.attributes.legislation/proposal.description	A javaslat szövege	Javaslat szövege	Proposal text
activerecord.yml	activerecord.attributes.legislation/proposal.summary	A javaslat összefoglalása	Javaslat összefoglalója	Proposal summary
activerecord.yml	activerecord.attributes.legislation/proposal.title	A javaslat címe	Javaslat címe	Proposal title
activerecord.yml	activerecord.attributes.legislation/proposal.video_url	Külső videó linkje	Link külső videóhoz	Link to external video
activerecord.yml	activerecord.attributes.legislation/draft_version.status_draft	Táblázat	Piszkozat	Draft
activerecord.yml	activerecord.attributes.legislation/draft_version.status_published	Megjelent	Közzétett	Published
activerecord.yml	activerecord.attributes.legislation/draft_version.final_version	Végleges változat	Végső változat	Final version
activerecord.yml	activerecord.attributes.document.attachment	A dokumentum kiválasztása	Válassza ki a dokumentumot	Choose document
activerecord.yml	activerecord.attributes.image.attachment	Képek kiválasztása	Válasszon képet	Choose image
activerecord.yml	activerecord.attributes.newsletter.segment_recipient	Címzett	Címzettek	Recipients
activerecord.yml	activerecord.attributes.newsletter.subject	Tárgy	Téma	Subject
activerecord.yml	activerecord.attributes.newsletter.from	E-mail cím, amely megjelenik, mint küldő hírlevél	E-mail cím, amely a hírlevél küldésére fog megjelenni	E-mail address that will appear as sending the newsletter
activerecord.yml	activerecord.attributes.admin_notification.segment_recipient	Címzett	Címzettek	Recipients
activerecord.yml	activerecord.attributes.admin_notification.link	Kapcsolat	Link	Link
activerecord.yml	activerecord.attributes.widget/card.link_text	A link szövege	Link szövege	Link text
activerecord.yml	activerecord.attributes.widget/card.link_url	URL kapcsolat	Link URL	Link URL
activerecord.yml	activerecord.attributes.widget/card.columns	Az oszlopok száma	Oszlopok száma	Number of columns
activerecord.yml	activerecord.attributes.widget/card/translation.link_text	A link szövege	Link szövege	Link text
activerecord.yml	activerecord.attributes.widget/feed.limit	A tételek száma	Darabszám	Number of items
activerecord.yml	activerecord.attributes.dashboard/action.link	Külső kapcsolat	Külső link	External link
activerecord.yml	activerecord.attributes.dashboard/action.request_to_administrators	Tartalmaz az erőforrás egy gombot kérni az erőforrás adminisztrátorok	Helyezzen el egy gombot az erőforráshoz, amellyel lekérheti az erőforrást a rendszergazdáktól	Include in the resource a button to request the resource from administrators
activerecord.yml	activerecord.attributes.dashboard/action.day_offset	Hány nappal a javaslat születése után szeretné aktiválni?	Hány nappal az ajánlat létrehozása után szeretné aktiválni?	How many days after the creation of the proposal do you want it to be activated?
activerecord.yml	activerecord.attributes.dashboard/action.required_supports	Mennyi javaslat támogatása?	Mennyi támogatást kell elérnie a javaslatnak ahhoz, hogy aktiválódjon?	How much supports does the proposal have to get in order to be activated?
activerecord.yml	activerecord.attributes.dashboard/action.order	Beírhatja azt a pozíciót, ahol ez a művelet megjelenik a felhasználónak a cselekvések listájában	A műveletek listájában megadhatja azt a pozíciót, ahol ez a művelet megjelenik a felhasználó számára	You can enter the position where this action will be shown to the user in the list of actions
activerecord.yml	activerecord.attributes.dashboard/action.action_type	Típus	Írja be	Type
activerecord.yml	activerecord.attributes.dashboard/action.action_type_resource	Erőforrás	Forrás	Resource
activerecord.yml	activerecord.attributes.dashboard/administrator_task.user	Végrehajtotta:	Végrehajtotta	Executed by
activerecord.yml	activerecord.attributes.valuator.valuator_group_id	Értékesítő csoport	Értékelő csoport	Valuator group
activerecord.yml	activerecord.attributes.valuator.can_comment	Hozzászólások létrehozása	Megjegyzéseket hozhat létre	Can create comments
activerecord.yml	activerecord.attributes.valuator.can_edit_dossier	A dossziék szerkesztése	Szerkesztheti a dossziékat	Can edit dossiers
activerecord.yml	activerecord.attributes.valuator_group.name	Csoportnév	Csoport neve	Group name
activerecord.yml	activerecord.attributes.local_census_record.document_type	Dokumentumtípus	Dokumentum típusa	Document type
activerecord.yml	activerecord.attributes.local_census_record.document_number	Dokumentumszám	Iratszám	Document number
activerecord.yml	activerecord.attributes.votation_type.max_votes	A szavazatok maximális száma	Szavazatok maximális száma	Maximum number of votes
activerecord.yml	activerecord.attributes.votation_type.vote_type	Votáció típusa	Szavazás típusa	Votation type
activerecord.yml	activerecord.attributes.votation_type/vote_type.open	Megnyitás	Nyílt végű	Open-ended
activerecord.yml	activerecord.attributes.votation_type/vote_type.multiple	Több válasz	Többféle válasz	Multiple answers
activerecord.yml	activerecord.attributes.cookies/vendor.name	Vendor neve	Eladó neve	Vendor name
activerecord.yml	activerecord.attributes.cookies/vendor.cookie	Süti neve	Cookie név	Cookie name
activerecord.yml	activerecord.attributes.cookies/vendor.script	Javascript- kód	Javascript kód	Javascript code
activerecord.yml	activerecord.errors.models.debate.attributes.tag_list.less_than_or_equal_to	a címkék száma legfeljebb%{count}	a címkéknek kisebbnek vagy egyenlőnek kell lenniük %{count}	tags must be less than or equal to %{count}
activerecord.yml	activerecord.errors.models.direct_message.attributes.max_per_day.invalid	Ön elérte a maximális számú privát üzenetek naponta	Elérte a napi privát üzenetek maximális számát	You have reached the maximum number of private messages per day
activerecord.yml	activerecord.errors.models.geozone.attributes.geojson.invalid	A GeoJSON nem követi a megfelelő formátumot. Az RFC 7946 szabványformátumot kell követnie.	A megadott GeoJSON nem a megfelelő formátumot követi. Követnie kell az RFC 7946 szabvány formátumát	The GeoJSON provided does not follow the correct format. It must follow the RFC 7946 standard format
activerecord.yml	activerecord.errors.models.geozone.attributes.geojson.invalid_coordinates	"A megadott GeoJSON érvénytelen koordinátákat tartalmaz; a koordinátáknak a szükséges ""Hosszúság, szélesség"" formátumban kell lenniük, és követniük kell az RFC 7946 szabványformátumot."	"A megadott GeoJSON érvénytelen koordinátákat tartalmaz; a koordinátáknak a szükséges ""hosszúság, szélesség"" formátumban kell lenniük, és követniük kell az RFC 7946 szabvány formátumát"	"The GeoJSON provided contains invalid coordinates; the coordinates must be in the required ""Longitude, Latitude"" format and follow the RFC 7946 standard format"
activerecord.yml	activerecord.errors.models.image.attributes.attachment.min_image_width	Kép szélessége legalább%{required_min_width}px	A kép szélességének legalább %{required_min_width} képpontnak kell lennie	Image Width must be at least %{required_min_width}px
activerecord.yml	activerecord.errors.models.image.attributes.attachment.min_image_height	A képmagasságnak legalább%{required_min_height}px	A kép magasságának legalább %{required_min_height} képpontnak kell lennie	Image Height must be at least %{required_min_height}px
activerecord.yml	activerecord.errors.models.newsletter.attributes.segment_recipient.invalid	A felhasználó átvevői szegmens érvénytelen	A felhasználói címzettek szegmens érvénytelen	The user recipients segment is invalid
activerecord.yml	activerecord.errors.models.admin_notification.attributes.segment_recipient.invalid	A felhasználó átvevői szegmens érvénytelen	A felhasználói címzettek szegmens érvénytelen	The user recipients segment is invalid
activerecord.yml	activerecord.errors.models.poll/voter.attributes.document_number.not_in_census	Nem népszámlálási dokumentum	A dokumentum nem szerepel a népszámláláson	Document not in census
activerecord.yml	activerecord.errors.models.legislation/process.attributes.end_date.invalid_date_range	a kezdési időpontban vagy azt követően kell lennie	a kezdő dátumon vagy azt követően kell lennie	must be on or after the start date
activerecord.yml	activerecord.errors.models.legislation/process.attributes.debate_end_date.invalid_date_range	a vita megkezdésének napján vagy azt követően	a vita kezdő dátumán vagy azt követően kell lennie	must be on or after the debate start date
activerecord.yml	activerecord.errors.models.legislation/process.attributes.draft_end_date.invalid_date_range	a tervezet kezdetének napján vagy után kell lennie	a kezdő dátum vázlatán vagy azt követően kell lennie	must be on or after the draft start date
activerecord.yml	activerecord.errors.models.legislation/process.attributes.allegations_end_date.invalid_date_range	a megjegyzések kezdetének napján vagy után kell lennie	a megjegyzés kezdő dátumán vagy azt követően kell lennie	must be on or after the comments start date
activerecord.yml	activerecord.errors.models.local_census_record.attributes.document_type.inclusion	nem szerepel a listán, megengedett értéke 1 a DNI, 2 az útlevél és 3 a tartózkodási kártya.	nem szerepel a listán, megengedett értékek: 1 a DNI, 2 az útlevél és 3 a lakcímkártya.	is not included in the list, allowed values are 1 for DNI, 2 for passport and 3 for residence card.
activerecord.yml	activerecord.errors.models.proposal.attributes.tag_list.less_than_or_equal_to	a címkék száma legfeljebb%{count}	a címkéknek kisebbnek vagy egyenlőnek kell lenniük %{count}	tags must be less than or equal to %{count}
activerecord.yml	activerecord.errors.models.budget/investment.attributes.tag_list.less_than_or_equal_to	a címkék száma legfeljebb%{count}	a címkéknek kisebbnek vagy egyenlőnek kell lenniük %{count}	tags must be less than or equal to %{count}
activerecord.yml	activerecord.errors.models.proposal_notification.attributes.minimum_interval.invalid	Meg kell várni a minimum%{interval}értesítések közötti napok	Az értesítések között legalább %{interval} napot kell várnia	You have to wait a minimum of %{interval} days between notifications
activerecord.yml	activerecord.errors.models.signature.attributes.document_number.not_in_census	A Census által nem ellenőrzött	Népszámlálás által nem igazolt	Not verified by Census
activerecord.yml	activerecord.errors.models.signature.attributes.document_number.already_voted	A javaslatot már megszavazták.	Ezt a javaslatot már megszavazták	Already voted this proposal
activerecord.yml	activerecord.errors.models.site_customization/page.attributes.slug.slug_format	Biztos betűk, számok, és...	betűk, számok, _ és -	must be letters, numbers, _ and -
activerecord.yml	activerecord.errors.models.site_customization/image.attributes.image.image_width	Szélesnek kell lennie.%{required_width}px	A szélességnek %{required_width} képpontnak kell lennie	Width must be %{required_width}px
activerecord.yml	activerecord.errors.models.site_customization/image.attributes.image.image_height	Magasnak kell lennie.%{required_height}px	A magasságnak %{required_height} képpontnak kell lennie	Height must be %{required_height}px
activerecord.yml	activerecord.errors.models.comment.attributes.valuation.cannot_comment_valuation	Nem nyilatkozhatsz az értékelésről.	Értékelést nem lehet kommentálni	You cannot comment a valuation
activerecord.yml	activerecord.errors.models.remote_translation.attributes.locale.already_translated	Már lefordított erőforrás	Már lefordított forrás	Already translated resource
activerecord.yml	activerecord.errors.models.sdg/local_target.attributes.code.invalid	ugyanazzal a kóddal kell kezdenie, mint a célnak, majd egy ponttal, és egy számmal.	Ugyanazzal a kóddal kell kezdődnie, mint a cél, amelyet egy pont követ, és egy számmal kell végződnie	must start with the same code as its target followed by a dot and end with a number
activerecord.yml	activerecord.errors.models.votation_type.attributes.vote_type.cannot_change_to_open_ended	nem válthat nyitott végű típusra, mert már meghatározta a lehetséges válaszokat erre a kérdésre	nem változtatható nyílt végű típusra, mert már megadta a lehetséges érvényes válaszokat erre a kérdésre	can't change to open-ended type because you've already defined possible valid answers for this question
activerecord.yml	activerecord.errors.messages.translations_too_short	Kötelező legalább egy fordítást benyújtani	Legalább egy fordítást kötelező biztosítani	Is mandatory to provide one translation at least
activerecord.yml	activerecord.errors.messages.record_invalid	A hitelesítés nem sikerült:%{errors}	Az érvényesítés sikertelen: %{errors}	Validation failed: %{errors}
activerecord.yml	activerecord.errors.messages.another_poll_active	Egy másik felmérés is aktív az adott időszakban.	Egy másik szavazás is aktív az adott időszakban	There is another poll active for the given period
activerecord.yml	activerecord.errors.messages.restrict_dependent_destroy.has_one	Nem sikerült törölni a rekordot, mert egy függő%{record}létezik	A rekord nem törölhető, mert létezik egy függő %{record}	Cannot delete record because a dependent %{record} exists
activerecord.yml	activerecord.errors.messages.restrict_dependent_destroy.has_many	Nem sikerült törölni a rekordot, mert függő%{record}létezik	A rekord nem törölhető, mert létezik függő %{record}	Cannot delete record because dependent %{record} exist
milestones.yml	milestones.index.no_milestones	Nem definiált mérföldkövek	Nincsenek meghatározott mérföldkövek	Don't have defined milestones
milestones.yml	milestones.index.progress	Előrehaladás	Előrehalad	Progress
milestones.yml	milestones.show.publication_date	Megjelent %{publication_date}	Közzétéve %{publication_date}	Published %{publication_date}
milestones.yml	milestones.show.status_changed	Állapot megváltozott	Az állapot a következőre módosult:	Status changed to
management.yml	management.account.menu.reset_password_email	Jelszó újraindítása e-mailben	Jelszó visszaállítása e-mailben	Reset password via email
management.yml	management.account.menu.reset_password_manually	Jelszó beállítása manuálisan	Állítsa vissza a jelszót manuálisan	Reset password manually
management.yml	management.account.alert.unverified_user	Még nem jelentkezett be hitelesített felhasználó	Még nem jelentkezett be ellenőrzött felhasználó	No verified user logged in yet
management.yml	management.account.edit.title	Felhasználói fiók szerkesztése: jelszó újraindítása	Felhasználói fiók szerkesztése: Jelszó visszaállítása	Edit user account: Reset password
management.yml	management.account.edit.password.send_email	A jelszó újraindítása	Jelszó-visszaállítási e-mail küldése	Send reset password email
management.yml	management.account.edit.password.reset_email_send	E-mail helyesen elküldve.	Az e-mail helyesen elküldve.	Email correctly sent.
management.yml	management.account.edit.password.reseted	A jelszót sikeresen továbbították	A jelszó sikeresen visszaállítva	Password reseted successfully
management.yml	management.account.edit.password.random	Véletlenszerű jelszó létrehozása	Véletlenszerű jelszó generálása	Generate random password
management.yml	management.account.edit.password.print	Jelszó kinyomtatása	Jelszó nyomtatása	Print password
management.yml	management.account.edit.password.print_help	Képesek lesznek kinyomtatni a jelszót, ha elmentettük.	A jelszót a mentés után tudja kinyomtatni.	You will be able to print the password when it is saved.
management.yml	management.account_info.change_user	A felhasználó megváltoztatása	Felhasználó módosítása	Change user
management.yml	management.account_info.document_number_label	A dokumentum száma:	Iratszám:	Document number:
management.yml	management.account_info.document_type_label	A dokumentum típusa:	Dokumentum típusa:	Document type:
management.yml	management.account_info.email_label	E-mail:	Email:	Email:
management.yml	management.check	A dokumentum ellenőrzése	Ellenőrizze a dokumentumot	Check document
management.yml	management.dashboard.index.title	Kezelés	Menedzsment	Management
management.yml	management.dashboard.index.info	Itt kezelheti a felhasználókat a bal oldali menüben felsorolt összes műveleten keresztül.	Itt kezelheti a felhasználókat a bal oldali menüben felsorolt ​​összes művelettel.	Here you can manage users through all actions listed in the left menu.
management.yml	management.document_verifications.already_verified	Ezt a felhasználói fiókot már ellenőriztük.	Ez a felhasználói fiók már ellenőrizve van.	This user account is already verified.
management.yml	management.document_verifications.has_no_account	"Annak érdekében, hogy hozzon létre egy fiókot, menj %{link} és kattintson a <b>""Regisztrálás""</b> a képernyő bal felső részében."	"Fiók létrehozásához lépjen az %{link} oldalra, és kattintson a <b>""Regisztráció"" </b> elemre a képernyő bal felső részén."	"In order to create an account, go to %{link} and click in <b>""Register""</b> in the upper-left part of the screen."
management.yml	management.document_verifications.link	FOGYASZTOTT DEMOKRÁCIA	KONZUL DEMOKRÁCIA	CONSUL DEMOCRACY
management.yml	management.document_verifications.in_census_has_following_permissions	Ez a felhasználó a következő jogosultságokkal vehet részt a honlapon:	Ez a felhasználó az alábbi engedélyekkel vehet részt a weboldalon:	This user can participate in the website with the following permissions:
management.yml	management.document_verifications.not_in_census_info	A népszámlálásban nem szereplő polgárok a következő jogosultságokkal vehetnek részt a honlapon:	A Népszámláláson nem szereplő állampolgárok az alábbi engedélyekkel vehetnek részt a weboldalon:	Citizens not in the Census can participate in the website with the following permissions:
management.yml	management.document_verifications.please_check_account_data	Ellenőrizze, hogy a fenti fiókadatok helyesek-e.	Kérjük, ellenőrizze, hogy a fenti fiókadatok helyesek-e.	Please check that the account data above are correct.
management.yml	management.document_verifications.under_age	Nincs annyi ideje, hogy ellenőrizze a fiókját.	Nincs meg a fiók igazolásához szükséges életkor.	You don't have the required age to verify your account.
management.yml	management.document_verifications.verify	Ellenőrzés	Ellenőrizze	Verify
management.yml	management.email_verifications.already_verified	Ezt a felhasználói fiókot már ellenőriztük.	Ez a felhasználói fiók már ellenőrizve van.	This user account is already verified.
management.yml	management.email_verifications.choose_options	Válasszon az alábbi lehetőségek közül:	Kérjük, válasszon az alábbi lehetőségek közül:	Please choose one of the following options:
management.yml	management.email_verifications.document_found_in_census	Ez a dokumentum megtalálható a népszámlálásban, de nincs hozzá felhasználói fiókja.	Ezt a dokumentumot megtalálták a népszámlálás során, de nem tartozik hozzá felhasználói fiók.	This document was found in the census, but it has no user account associated to it.
management.yml	management.email_verifications.document_mismatch	Ez az e-mail egy olyan felhasználóhoz tartozik, akinek már van hozzá kapcsolódó azonosítója: %{document_number}(%{document_type})	Ez az e-mail egy olyan felhasználóhoz tartozik, akinek már van társított azonosítója: %{document_number}(%{document_type})	This email belongs to a user which already has an associated id: %{document_number}(%{document_type})
management.yml	management.email_verifications.email_sent_instructions	Annak érdekében, hogy teljes mértékben ellenőrizze ezt a felhasználót, szükséges, hogy a felhasználó kattintson egy linkre, amelyet elküldtünk a fenti e-mail címre. Erre a lépésre azért van szükség, hogy megerősítsük, a cím az övé.	A felhasználó teljes körű ellenőrzéséhez szükséges, hogy a felhasználó egy linkre kattintson, amelyet a fenti e-mail címre küldtünk. Erre a lépésre azért van szükség, hogy megbizonyosodjon arról, hogy a cím az övé.	In order to completely verify this user, it is necessary that the user clicks on a link which we have sent to the email address above. This step is needed in order to confirm that the address belongs to him.
management.yml	management.email_verifications.if_existing_account	Ha a személy már létrehozott egy felhasználói fiókot a honlapon,	Ha a személy már rendelkezik felhasználói fiókkal a weboldalon,	If the person has already a user account created in the website,
management.yml	management.email_verifications.introduce_email	Kérjük, mutassa be a számlán használt e-mailt:	Kérjük, mutassa be a fiókhoz használt e-mail címet:	Please introduce the email used on the account:
management.yml	management.email_verifications.send_email	Hitelesítő e-mail küldése	Ellenőrző e-mail küldése	Send verification email
management.yml	management.menu.create_proposal	Javaslat létrehozása	Készítsen ajánlatot	Create proposal
management.yml	management.menu.print_proposals	Javaslatok kinyomtatása	Javaslatok nyomtatása	Print proposals
management.yml	management.menu.support_proposals	Támogatási javaslatok	Javaslatok támogatása	Support proposals
management.yml	management.menu.create_budget_investment	Költségvetési beruházások létrehozása	Költségvetési beruházás létrehozása	Create budget investment
management.yml	management.menu.print_budget_investments	Költségvetési beruházások kinyomtatása	Költségvetési beruházások nyomtatása	Print budget investments
management.yml	management.menu.support_budget_investments	Támogató költségvetési beruházások	Költségvetési beruházások támogatása	Support budget investments
management.yml	management.menu.user_invites	Meghívások küldése	Meghívók küldése	Send invitations
management.yml	management.menu.select_user	A felhasználó kiválasztása	Felhasználó kiválasztása	Select user
management.yml	management.print.proposals_info	Javaslatának kidolgozása a következő témában: http://url.consul	Hozza létre ajánlatát a http://url.consul oldalon	Create your proposal on http://url.consul
management.yml	management.print.budget_investments_info	Részvétel a http://url.consul	Részvétel az http://url.consul	Participate at http://url.consul
management.yml	management.proposals.alert.unverified_user	A felhasználó nincs hitelesítve	A felhasználó nincs ellenőrizve	User is not verified
management.yml	management.proposals.create_proposal	Javaslat létrehozása	Készítsen ajánlatot	Create proposal
management.yml	management.proposals.index.title	Támogatási javaslatok	Javaslatok támogatása	Support proposals
management.yml	management.budgets.create_new_investment	Költségvetési beruházások létrehozása	Költségvetési beruházás létrehozása	Create budget investment
management.yml	management.budgets.print_investments	Költségvetési beruházások kinyomtatása	Költségvetési beruházások nyomtatása	Print budget investments
management.yml	management.budgets.support_investments	Támogató költségvetési beruházások	Költségvetési beruházások támogatása	Support budget investments
management.yml	management.budgets.table_actions	Intézkedések	Akciók	Actions
management.yml	management.budgets.no_budgets	Nincs aktív részvételi költségvetés.	Nincsenek aktív közösségi költségvetések.	There are no active participatory budgets.
management.yml	management.budget_investments.alert.unverified_user	A felhasználó nincs hitelesítve	A felhasználó nincs ellenőrizve	User is not verified
management.yml	management.budget_investments.create	Költségvetési beruházás létrehozása	Hozzon létre egy költségvetési befektetést	Create a budget investment
management.yml	management.budget_investments.edit	Költségvetési beruházások szerkesztése	Költségvetési beruházás szerkesztése	Edit budget investment
management.yml	management.budget_investments.filters.heading	Fogalom	Koncepció	Concept
management.yml	management.budget_investments.filters.unfeasible	Nem megvalósítható beruházás	Megvalósíthatatlan befektetés	Unfeasible investment
management.yml	management.budget_investments.search.label	Keresési beruházások	Befektetések keresése	Search investments
management.yml	management.budget_investments.search_results.one	" amely a kifejezést tartalmazza ""%{search_term}'"	amely tartalmazza a „%{search_term}” kifejezést	 containing the term '%{search_term}'
management.yml	management.budget_investments.search_results.other	" amely a kifejezést tartalmazza ""%{search_term}'"	amely tartalmazza a „%{search_term}” kifejezést	 containing the term '%{search_term}'
management.yml	management.sessions.need_managed_user	Ehhez a művelethez ki kell választani egy felhasználót	A művelet végrehajtásához ki kell választania egy felhasználót	To perform this action you must select a user
management.yml	management.sessions.signed_out	Sikeresen aláírták.	Sikeresen kijelentkezett.	Signed out successfully.
management.yml	management.sessions.signed_out_managed_user	A felhasználói munkamenet sikeresen befejeződött.	A felhasználói munkamenet sikeresen kijelentkezett.	User session signed out successfully.
management.yml	management.users.create_user	Új fiók létrehozása	Hozzon létre egy új fiókot	Create a new account
management.yml	management.users.create_user_info	Létrehozunk egy fiókot a következő adatokkal:	A következő adatokkal fiókot hozunk létre	We will create an account with the following data
management.yml	management.users.create_user_submit	Felhasználók létrehozása	Felhasználó létrehozása	Create user
