file	key	previous_hungarian	revised_hungarian	english_source	method
devise_views.yml	devise_views.shared.links.new_confirmation	Nem kapott utasítást fiókja aktiválásához?	Nem kapta meg a fiók aktiválásához szükséges utasításokat?	Haven't received instructions to activate your account?	human editorial revision
devise_views.yml	devise_views.shared.links.new_password	Elfelejtette jelszavát?	Elfelejtette a jelszavát?	Forgotten your password?	human editorial revision
devise_views.yml	devise_views.shared.links.new_unlock	Nem kapott feloldási utasítást?	Nem kapta meg a fiók feloldásához szükséges utasításokat?	Haven't received unlocking instructions?	human editorial revision
devise_views.yml	devise_views.shared.links.signup	Nincs fiókja? %{signup_link}	Nincs még fiókja? %{signup_link}	Don't have an account? %{signup_link}	human editorial revision
devise_views.yml	devise_views.unlocks.new.email_label	Email	E-mail-cím	Email	human editorial revision
devise_views.yml	devise_views.unlocks.new.submit	Küldje el újra a feloldási utasításokat	Feloldási utasítások újbóli elküldése	Re-send unlocking instructions	human editorial revision
devise_views.yml	devise_views.unlocks.new.title	Újra elküldte a feloldási utasításokat	Feloldási utasítások újbóli elküldése	Re-sent unlocking instructions	human editorial revision
devise_views.yml	devise_views.users.registrations.delete_form.erase_reason_label	Ok	Indok	Reason	human editorial revision
devise_views.yml	devise_views.users.registrations.delete_form.info	Ez a művelet nem vonható vissza. Kérjük, győződjön meg róla, hogy ezt szeretné.	Ez a művelet nem vonható vissza. Kérjük, csak akkor folytassa, ha biztos a döntésében.	This action can not be undone. Please make sure this is what you want.	human editorial revision
devise_views.yml	devise_views.users.registrations.delete_form.info_reason	Ha szeretné, adjon meg egy okot (nem kötelező)	Ha szeretné, megadhatja a törlés okát is; ez nem kötelező.	If you want, leave us a reason (optional)	human editorial revision
devise_views.yml	devise_views.users.registrations.delete_form.submit	Törölje a fiókomat	Fiókom törlése	Erase my account	human editorial revision
devise_views.yml	devise_views.users.registrations.edit.email_label	Email	E-mail-cím	Email	human editorial revision
devise_views.yml	devise_views.users.registrations.edit.leave_blank	Ha nem kívánja módosítani, hagyja üresen	Hagyja üresen, ha nem kívánja módosítani.	Leave blank if you do not wish to modify	human editorial revision
devise_views.yml	devise_views.users.registrations.edit.need_current	A módosítások megerősítéséhez szükségünk van jelenlegi jelszavára	A módosítások mentéséhez adja meg jelenlegi jelszavát.	We need your current password to confirm the changes	human editorial revision
devise_views.yml	devise_views.users.registrations.edit.password_confirmation_label	Erősítse meg az új jelszót	Új jelszó megerősítése	Confirm new password	human editorial revision
devise_views.yml	devise_views.users.registrations.edit.update_submit	Frissítés	Módosítások mentése	Update	human editorial revision
devise_views.yml	devise_views.users.registrations.new.cancel	Bejelentkezés megszakítása	Regisztráció megszakítása	Cancel login	human editorial revision
devise_views.yml	devise_views.users.registrations.new.organization_signup	Szervezetet vagy kollektívát képvisel? %{signup_link}	Szervezetet vagy közösséget képvisel? %{signup_link}	Do you represent an organisation or collective? %{signup_link}	human editorial revision
devise_views.yml	devise_views.users.registrations.new.password_confirmation_label	Erősítse meg a jelszót	Jelszó megerősítése	Confirm password	human editorial revision
devise_views.yml	devise_views.users.registrations.new.submit	Nyilvántartás	Regisztráció	Register	human editorial revision
devise_views.yml	devise_views.users.registrations.new.terms	A regisztrációval elfogadja az %{terms}	A regisztrációval elfogadja a(z) %{terms}.	By registering you accept the %{terms}	human editorial revision
devise_views.yml	devise_views.users.registrations.new.terms_link	felhasználási feltételek	felhasználási feltételeket	terms and conditions of use	human editorial revision
devise_views.yml	devise_views.users.registrations.new.title	Nyilvántartás	Regisztráció	Register	human editorial revision
devise_views.yml	devise_views.users.registrations.new.username_is_available	Felhasználónév elérhető	A felhasználónév elérhető.	Username available	human editorial revision
devise_views.yml	devise_views.users.registrations.new.username_is_not_available	A felhasználónév már használatban van	Ez a felhasználónév már foglalt.	Username already in use	human editorial revision
devise_views.yml	devise_views.users.registrations.new.username_note	A bejegyzések mellett megjelenő név	Ez a név jelenik meg a hozzászólásai mellett.	Name that appears next to your posts	human editorial revision
devise_views.yml	devise_views.users.registrations.success.back_to_index	értem; vissza a főoldalra	Értem, vissza a főoldalra	I understand; go back to main page	human editorial revision
devise_views.yml	devise_views.users.registrations.success.instructions_1	Kérjük, <b>nézze meg e-mailjét</b> – küldtünk egy <b>linket a fiókjának megerősítéséhez</b>.	Kérjük, ellenőrizze e-mailjeit: küldtünk egy <b>fiókmegerősítő hivatkozást</b>.	Please <b>check your email</b> - we have sent you a <b>link to confirm your account</b>.	human editorial revision
devise_views.yml	devise_views.users.registrations.success.instructions_2	A megerősítést követően megkezdheti a részvételt.	Az e-mail-cím megerősítése után megkezdheti a részvételt.	Once confirmed, you may begin participation.	human editorial revision
devise_views.yml	devise_views.users.registrations.success.thank_you	Köszönjük, hogy regisztrált a weboldalra. Most <b> kell megerősítenie e-mail címét</b>.	Köszönjük a regisztrációját. A folytatáshoz <b>erősítse meg e-mail-címét</b>.	Thank you for registering for the website. You must now <b>confirm your email address</b>.	human editorial revision
devise_views.yml	devise_views.users.registrations.success.title	Erősítse meg e-mail címét	E-mail-cím megerősítése	Confirm your email address	human editorial revision
verification.yml	verification.back	Vissza a fiókomhoz	Vissza a Saját fiókhoz	Return to my account	human editorial revision
verification.yml	verification.email.create.alert.failure	Hiba történt az e-mail fiókba küldésekor	Nem sikerült megerősítő e-mailt küldeni a fiókjához.	There was a problem with sending an email to your account	human editorial revision
verification.yml	verification.email.create.flash.success	Megerősítő e-mailt küldtünk a fiókjába: %{email}	Megerősítő e-mailt küldtünk a következő címre: %{email}.	We have sent a confirmation email to your account: %{email}	human editorial revision
verification.yml	verification.email.show.alert.failure	Az ellenőrző kód helytelen	A megerősítő kód hibás.	Verification code incorrect	human editorial revision
verification.yml	verification.email.show.flash.success	Ön ellenőrzött felhasználó	Fiókja ellenőrzött státuszú.	You are a verified user	human editorial revision
verification.yml	verification.letter.alert.unconfirmed_code	Még nem adta meg a megerősítő kódot	Még nem adta meg a megerősítő kódot.	You have not yet entered the confirmation code	human editorial revision
verification.yml	verification.letter.create.flash.success	Köszönjük, hogy elkérte <b>maximális biztonsági kódját (csak a végső szavazáshoz szükséges)</b>. Néhány napon belül elküldjük a nyilvántartásunkban lévő adatok között szereplő címre. Kérjük, ne feledje, hogy ha úgy tetszik, bármelyik állampolgári támogatási irodától beszerezheti kódját.	Köszönjük, hogy igényelte <b>maximális biztonsági kódját (ez csak a végső szavazásokhoz szükséges)</b>. Néhány napon belül elküldjük a nyilvántartásunkban szereplő címre. Ha szeretné, személyesen is átveheti a kódot bármelyik ügyfélszolgálati irodában.	Thank you for requesting your <b>maximum security code (only required for the final votes)</b>. In a few days we will send it to the address featuring in the data we have on file. Please remember that, if you prefer, you can collect your code from any of the Citizen Support Offices.	human editorial revision
verification.yml	verification.letter.edit.title	Kért levél	Levél igényelve	Letter requested	human editorial revision
verification.yml	verification.letter.errors.incorrect_code	Az ellenőrző kód helytelen	A megerősítő kód hibás.	Verification code incorrect	human editorial revision
verification.yml	verification.letter.new.explanation	A költségvetési projektekre való szavazáshoz:	A költségvetési projektekre történő szavazáshoz a következő lehetőségek állnak rendelkezésre:	In order to vote for budget projects you can:	human editorial revision
verification.yml	verification.letter.new.office	Ellenőrizze bármely állampolgári támogatási irodában	Személyes ellenőrzés ügyfélszolgálati irodában	Verify in any Citizen Support Offices	human editorial revision
verification.yml	verification.letter.new.send_letter	Küldj egy levelet a kóddal	Kérem a kódot tartalmazó levelet	Send me a letter with the code	human editorial revision
verification.yml	verification.letter.new.title	Gratulálok!	Gratulálunk!	Congratulations!	human editorial revision
verification.yml	verification.letter.new.user_permission_info	Fiókjával...	Fiókjával a következőket teheti:	With your account you can...	human editorial revision
verification.yml	verification.letter.update.flash.success	A kód helyes. Fiókja ellenőrzése megtörtént	A kód helyes. Fiókja ellenőrzése sikeres.	Code correct. Your account is now verified	human editorial revision
verification.yml	verification.redirect_notices.already_verified	Fiókja már igazolva van	Fiókja már ellenőrzött.	Your account is already verified	human editorial revision
verification.yml	verification.redirect_notices.email_already_sent	Már küldtünk egy e-mailt egy megerősítő linkkel. Ha nem találja az e-mailt, itt kérheti az újrakiadást	Már küldtünk egy megerősítő hivatkozást e-mailben. Ha nem találja az üzenetet, itt újra kérheti.	We have already sent an email with a confirmation link. If you cannot locate the email, you can request a reissue here	human editorial revision
verification.yml	verification.residence.alert.unconfirmed_residency	A lakóhely-ellenőrzést még nem erősítette meg.	A lakóhely ellenőrzése még nem történt meg.	You have not yet confirmed your residency	human editorial revision
verification.yml	verification.residence.create.flash.success	Lakóhelye ellenőrzése sikeres.	Lakóhelyének ellenőrzése sikeresen megtörtént.	Residence verified	human editorial revision
verification.yml	verification.residence.new.document_number_help_title	Súgó	Okmányszám formátuma	Help	human editorial revision
verification.yml	verification.residence.new.error_not_allowed_age	Nem érte el a részvételhez szükséges életkort.	Nem érte el a részvételhez szükséges alsó korhatárt.	You don't have the required age to participate	human editorial revision
verification.yml	verification.residence.new.error_not_allowed_postal_code	Az Ön irányítószáma nem jogosít részvételre.	Az irányítószáma alapján nem jogosult a részvételre.	Citizens from this postal code cannot participate	human editorial revision
verification.yml	verification.residence.new.error_verifying_census	A névjegyzék alapján nem sikerült ellenőrizni az adatait. Kérjük, ellenőrizze az adatokat, majd forduljon az önkormányzathoz vagy az ügyfélszolgálathoz.	A nyilvántartás alapján nem sikerült ellenőrizni az adatait. Kérjük, ellenőrizze az adatokat, majd szükség esetén forduljon az önkormányzathoz vagy az ügyfélszolgálathoz.	The Census was unable to verify your information. Please confirm that your census details are correct by calling to City Council or visit one Citizen Support Office.	human editorial revision
verification.yml	verification.residence.new.postal_code_note	A fiók ellenőrzéséhez a lakóhelye irányítószámát kell megadnia.	A fiók ellenőrzéséhez adja meg lakóhelyének irányítószámát.	To verify your account you must be registered	human editorial revision
verification.yml	verification.sms.create.flash.success	Adja meg az SMS-ben elküldött megerősítő kódot.	Adja meg az SMS-ben kapott megerősítő kódot.	Enter the confirmation code sent to you by text message	human editorial revision
verification.yml	verification.sms.edit.resend_sms_link	Kattintson ide az újbóli elküldéshez	SMS újbóli elküldése	Click here to send it again	human editorial revision
verification.yml	verification.sms.edit.submit_button	Küldés	Kód ellenőrzése	Send	human editorial revision
verification.yml	verification.sms.edit.title	Biztonsági kód megerősítése	Megerősítő kód megadása	Security code confirmation	human editorial revision
verification.yml	verification.sms.new.phone	Adja meg mobiltelefonszámát a kód fogadásához	Adja meg mobiltelefonszámát a kód fogadásához.	Enter your mobile phone number to receive the code	human editorial revision
verification.yml	verification.sms.new.phone_note	A telefonszámát kizárólag a kód elküldéséhez használjuk, kapcsolatfelvételre nem.	Telefonszámát kizárólag a kód elküldésére használjuk; kapcsolatfelvétel céljára nem.	We only use your phone to send you a code, never to contact you.	human editorial revision
verification.yml	verification.sms.new.submit_button	Küldés	Kód küldése	Send	human editorial revision
verification.yml	verification.sms.update.error	Hibás megerősítő kód	A megerősítő kód hibás.	Incorrect confirmation code	human editorial revision
verification.yml	verification.sms.update.flash.level_three.success	A kód helyes. A fiókja ellenőrzött.	A kód helyes. Fiókja ellenőrzött státuszú.	Code correct. Your account is now verified	human editorial revision
verification.yml	verification.user_permission_info	Az adatok ellenőrzésével Ön képes lesz...	Az adatok ellenőrzésével a következőket teheti:	Verifying your information you'll be able to...	human editorial revision
verification.yml	verification.verified_user.show.email_title	E-mailek	E-mail-címek	Emails	human editorial revision
verification.yml	verification.verified_user.show.explanation	Jelenleg az alábbi adatokat tartjuk nyilván a nyilvántartásban; kérjük, válassza ki a megerősítő kód elküldésének módját.	A nyilvántartásban az alábbi adatok szerepelnek. Kérjük, válassza ki, hogyan szeretné megkapni a megerősítő kódot.	We currently hold the following details on the Register; please select a method for your confirmation code to be sent.	human editorial revision
verification.yml	verification.verified_user.show.title	Elérhető információk	Rendelkezésre álló adatok	Available information	human editorial revision
verification.yml	verification.verified_user.show.use_another_phone	Használjon másik telefont	Másik telefonszám használata	Use other phone	human editorial revision
general.yml	account.show.last_sign_in	Utolsó bejelentkezés: %{last_sign_in_at} az IP-ről %{last_sign_in_ip}	Utolsó bejelentkezés: %{last_sign_in_at}; IP-cím: %{last_sign_in_ip}	Last login: %{last_sign_in_at} from IP %{last_sign_in_ip}	human editorial revision
general.yml	account.show.change_credentials_link	Módosítsa a bejelentkezési adataimat	Bejelentkezési adatok módosítása	Change my login details	human editorial revision
general.yml	account.show.erase_account_link	Törölje a fiókomat	Fiókom törlése	Erase my account	human editorial revision
general.yml	account.show.finish_verification	Ellenőrzés befejezése	Ellenőrzés folytatása	Complete verification	human editorial revision
general.yml	account.show.title	Az én fiókom	Saját fiók	My account	human editorial revision
general.yml	account.show.user_permission_info	Fiókjával...	Fiókjával a következőket teheti:	With your account you can...	human editorial revision
general.yml	account.show.user_permission_verify	Az összes művelet eléréséhez ellenőrizze a fiókját.	Az összes funkció eléréséhez ellenőrizze fiókját.	To perform all the actions verify your account.	human editorial revision
general.yml	application.close	Közeli	Bezárás	Close	human editorial revision
general.yml	comments.actions.confirm_delete	Biztos vagy benne? Ez a művelet törli ezt a megjegyzést. Ez a művelet nem vonható vissza.	Biztosan törli ezt a hozzászólást? A művelet nem vonható vissza.	Are you sure? This action will delete this comment. You can't undo this action.	human editorial revision
general.yml	comments.actions.delete	Megjegyzés törlése	Hozzászólás törlése	Delete comment	human editorial revision
general.yml	comments.comments_closed	A hozzászólások lezárva	A hozzászólások lezárultak.	Comments are closed	human editorial revision
general.yml	comments.comment.deleted	Ezt a megjegyzést törölték	Ezt a hozzászólást törölték.	This comment has been deleted	human editorial revision
general.yml	comments.comment.responses.other	%{count} válaszok	%{count} válasz	%{count} responses	human editorial revision
general.yml	comments.comment.responses_show.one	1 válasz (show)	1 válasz megjelenítése	1 response (show)	human editorial revision
general.yml	comments.comment.responses_show.other	%{count} válaszok (megjelenítés)	%{count} válasz megjelenítése	%{count} responses (show)	human editorial revision
general.yml	comments.comment.responses_collapse.one	1 válasz (összecsukás)	1 válasz elrejtése	1 response (collapse)	human editorial revision
general.yml	comments.comment.responses_collapse.other	%{count} válaszok (összecsukás)	%{count} válasz elrejtése	%{count} responses (collapse)	human editorial revision
general.yml	comments.comment.votes.other	%{count} szavazatok	%{count} szavazat	%{count} votes	human editorial revision
general.yml	comments.form.leave_comment	Hagyja meg észrevételét	Írjon hozzászólást	Leave your comment	human editorial revision
general.yml	comments.orders.most_voted	A legtöbben szavaztak	Legtöbb szavazat	Most voted	human editorial revision
general.yml	comments.orders.oldest	Először a legidősebb	Legrégebbi elöl	Oldest first	human editorial revision
general.yml	comments.orders.most_commented	A legtöbb kommentált	Legtöbb hozzászólás	Most commented	human editorial revision
general.yml	comments.show.return_to_commentable	Menj vissza ide	Vissza a tartalomhoz	Go back to 	human editorial revision
general.yml	comments_helper.comment_button	Megjegyzés közzététele	Hozzászólás közzététele	Publish comment	human editorial revision
general.yml	comments_helper.comment_link	Megjegyzés	Hozzászólás	Comment	human editorial revision
general.yml	comments_helper.comments_title	Megjegyzések	Hozzászólások	Comments	human editorial revision
general.yml	debates.debate.votes.other	%{count} szavazatok	%{count} szavazat	%{count} votes	human editorial revision
general.yml	debates.form.tags_instructions	Jelölje meg ezt a vitát.	Címkézze fel ezt a vitát.	Tag this debate.	human editorial revision
general.yml	debates.index.orders.confidence_score	legmagasabb minősítésű	Legmagasabb értékelés	highest rated	human editorial revision
general.yml	debates.index.orders.relevance	relevanciáját	Legrelevánsabb	relevance	human editorial revision
general.yml	debates.index.orders.recommendations	ajánlásokat	Ajánlott	recommendations	human editorial revision
general.yml	debates.index.recommendations.without_results	Nincsenek viták az Ön érdeklődési körével kapcsolatban	Nincsenek az érdeklődési köréhez kapcsolódó viták.	There are no debates related to your interests	human editorial revision
general.yml	debates.index.recommendations.without_interests	Kövesse a javaslatokat, hogy javaslatokat tudjunk adni	Kövesse az Önt érdeklő javaslatokat, hogy személyre szabott ajánlásokat adhassunk.	Follow proposals so we can give you recommendations	human editorial revision
general.yml	debates.index.section_header.icon_alt	Viták ikonra	Viták ikon	Debates icon	human editorial revision
general.yml	debates.index.section_header.help	Segítség a vitákban	Segítség a vitákhoz	Help with debates	human editorial revision
general.yml	debates.index.section_footer.title	Segítség a vitákban	Segítség a vitákhoz	Help with debates	human editorial revision
general.yml	debates.index.section_footer.help_text_1	A polgári viták tere mindenkit megcéloz, aki fel tudja fedni aggodalmát, illetve azokat, akik meg akarják osztani véleményüket másokkal.	A viták felületén bárki megoszthatja a települést érintő kérdésekkel kapcsolatos véleményét.	The space for citizen debates is aimed at anyone who can expose issues of their concern and those who want to share opinions with other people.	human editorial revision
general.yml	debates.index.section_footer.help_text_2	A vita megnyitásához regisztrálnia kell az %{org} oldalon. A felhasználók megjegyzéseket fűzhetnek a nyílt vitákhoz, és értékelhetik azokat az „egyetértek” vagy a „nem értek egyet” gombokkal, amelyek mindegyikében találhatók.	Új vita indításához regisztrálnia kell az %{org} oldalon. A nyílt vitákhoz hozzászólhat, és az „egyetértek” vagy „nem értek egyet” gombbal értékelheti a bejegyzéseket.	"To open a debate you need to sign up on %{org}. Users can also comment on open debates and rate them with the ""I agree"" or ""I disagree"" buttons found in each of them."	human editorial revision
general.yml	debates.new.recommendation_four	Élvezze ezt a teret és az azt betöltő hangokat. Ez is hozzád tartozik.	Használja szabadon ezt a felületet, és hallgassa meg mások véleményét is. Ez a tér Önnek is szól.	Enjoy this space and the voices that fill it. It belongs to you too.	human editorial revision
general.yml	debates.new.recommendation_three	A kíméletlen kritikát nagyon szívesen fogadjuk. Ez a tere a reflexiónak. De azt javasoljuk, hogy ragaszkodjon az eleganciához és az intelligenciához. A világ jobb hely ezekkel az erényekkel.	A tárgyszerű kritikát szívesen fogadjuk. Kérjük, maradjon tiszteletteljes és építő jellegű.	Ruthless criticism is very welcome. This is a space for reflection. But we recommend that you stick to elegance and intelligence. The world is a better place with these virtues in it.	human editorial revision
general.yml	debates.show.comments_title	Megjegyzések	Hozzászólások	Comments	human editorial revision
general.yml	debates.show.share	Részesedés	Megosztás	Share	human editorial revision
general.yml	form.accept_terms	Elfogadom az %{policy} és %{conditions}	Elfogadom a(z) %{policy} és a(z) %{conditions} dokumentumot.	I agree to the %{policy} and the %{conditions}	human editorial revision
general.yml	form.errors	hibákat	hiba	errors	human editorial revision
general.yml	form.not_saved	megakadályozta az %{resource} mentését. <br>Kérjük, ellenőrizze a megjelölt mezőket, hogy megtudja, hogyan javíthatja ki őket:	megakadályozta a(z) %{resource} mentését.<br>Kérjük, ellenőrizze a megjelölt mezőket.	prevented this %{resource} from being saved. <br>Please check the marked fields to know how to correct them:	human editorial revision
general.yml	proposals.create.form.submit_button	Készítsen ajánlatot	Javaslat létrehozása	Create proposal	human editorial revision
general.yml	proposals.created.preview_title	Így fog kinézni az ajánlata, amikor közzéteszi	Így fog kinézni javaslata közzététel után	This is how your proposal will look when you publish it	human editorial revision
general.yml	proposals.edit.show_link	Ajánlat megtekintése	Javaslat megtekintése	View proposal	human editorial revision
general.yml	proposals.retire_form.warning	Ha visszavonja az ajánlatot, továbbra is elfogadja a támogatásokat, de eltávolítja a fő listáról, és minden felhasználó számára megjelenik egy üzenet, amely szerint a szerző szerint a javaslatot nem kellene többé támogatni	A visszavont javaslat nem jelenik meg a fő listában, de a korábbi támogatások megmaradnak. A javaslat oldalán tájékoztatás jelenik meg arról, hogy a szerző már nem kéri további támogatását.	If you withdraw the proposal it will still accept supports, but will be removed from the main list and a message will be visible to all users stating that the author considers the proposal should not be supported anymore	human editorial revision
general.yml	proposals.retire_options.duplicated	Megkettőzött	Duplikált	Duplicated	human editorial revision
general.yml	proposals.form.tags_instructions	Jelölje meg ezt az ajánlatot. Választhat a javasolt kategóriák közül, vagy hozzáadhat sajátot	Címkézze fel ezt a javaslatot. Választhat a javasolt kategóriák közül, vagy saját címkét is hozzáadhat.	Tag this proposal. You can choose from proposed categories or add your own	human editorial revision
general.yml	proposals.form.proposal_video_url_note	Hozzáadhat egy linket a YouTube-hoz vagy a Vimeóhoz	YouTube- vagy Vimeo-hivatkozást is hozzáadhat.	You may add a link to YouTube or Vimeo	human editorial revision
general.yml	proposals.index.orders.confidence_score	legmagasabb minősítésű	Legmagasabb értékelés	highest rated	human editorial revision
general.yml	proposals.index.orders.most_commented	legtöbbször kommentáltak	Legtöbb hozzászólás	most commented	human editorial revision
general.yml	proposals.index.orders.relevance	relevanciáját	Legrelevánsabb	relevance	human editorial revision
general.yml	proposals.index.orders.recommendations	ajánlásokat	Ajánlott	recommendations	human editorial revision
general.yml	proposals.index.recommendations.without_results	Nincsenek az Ön érdeklődési köréhez kapcsolódó ajánlatok	Nincsenek az érdeklődési köréhez kapcsolódó javaslatok.	There are not proposals related to your interests	human editorial revision
general.yml	proposals.index.recommendations.without_interests	Kövesse a javaslatokat, hogy javaslatokat tudjunk adni	Kövesse az Önt érdeklő javaslatokat, hogy személyre szabott ajánlásokat adhassunk.	Follow proposals so we can give you recommendations	human editorial revision
general.yml	proposals.index.selected_proposals	Válogatott ajánlatok	Kiválasztott javaslatok	Selected proposals	human editorial revision
general.yml	proposals.index.selected_proposals_link	A kiválasztott ajánlatok megtekintése	Kiválasztott javaslatok megtekintése	View selected proposals	human editorial revision
general.yml	proposals.index.search_form.placeholder	Ajánlatok keresése...	Javaslatok keresése…	Search proposals...	human editorial revision
general.yml	proposals.index.select_order_long	A következőképpen tekinti meg az ajánlatokat:	Javaslatok rendezése:	You are viewing proposals according to:	human editorial revision
general.yml	proposals.index.start_proposal	Hozzon létre egy ajánlatot	Javaslat létrehozása	Create a proposal	human editorial revision
general.yml	proposals.index.section_header.icon_alt	Javaslatok ikonra	Javaslatok ikon	Proposals icon	human editorial revision
general.yml	proposals.index.section_header.help	Segítség javaslatokkal	Segítség a javaslatokhoz	Help with proposals	human editorial revision
general.yml	proposals.index.section_footer.title	Segítség javaslatokkal	Segítség a javaslatokhoz	Help with proposals	human editorial revision
general.yml	proposals.index.section_footer.description	A polgárok javaslatai lehetőséget adnak a szomszédok és a kollektívák számára, hogy közvetlenül eldöntsék, milyennek szeretnék városukat, miután elegendő támogatást kaptak és polgári szavazásra bocsátották őket.	A polgári javaslatok segítségével a lakosok és közösségek kezdeményezéseket nyújthatnak be. A kellő támogatást elérő javaslatok a helyi szabályok szerinti további eljárásba kerülhetnek.	Citizens' proposals are an opportunity for neighbours and collectives to decide directly how they want their city to be, after getting sufficient support and submitting to a citizens' vote.	human editorial revision
general.yml	proposals.new.form.submit_button	Készítsen ajánlatot	Javaslat létrehozása	Create proposal	human editorial revision
general.yml	proposals.new.recommendation_three	Élvezze ezt a teret és az azt betöltő hangokat. Ez is hozzád tartozik.	Használja szabadon ezt a felületet, és hallgassa meg mások véleményét is. Ez a tér Önnek is szól.	Enjoy this space and the voices that fill it. It belongs to you too.	human editorial revision
general.yml	proposals.new.recommendations_title	Javaslatok az ajánlat elkészítéséhez	Útmutató javaslat létrehozásához	Recommendations for creating a proposal	human editorial revision
general.yml	proposals.new.start_new	Új ajánlat létrehozása	Új javaslat létrehozása	Create new proposal	human editorial revision
general.yml	proposals.proposal.created	Létrehozott egy ajánlatot!	Javaslata elkészült!	You've created a proposal!	human editorial revision
general.yml	proposals.proposal.share.guide	Most megoszthatod, hogy az emberek elkezdhessék támogatni.	Most megoszthatja javaslatát, hogy mások is támogathassák.	Now you can share it so people can start supporting.	human editorial revision
general.yml	proposals.proposal.share.view_proposal	Ne most, menjen az én javaslatomra	Nem most, javaslatom megtekintése	Not now, go to my proposal	human editorial revision
general.yml	proposals.proposal.already_supported	Ön már támogatta ezt a javaslatot. Oszd meg!	Ön már támogatta ezt a javaslatot. Ossza meg másokkal is!	You have already supported this proposal. Share it!	human editorial revision
general.yml	proposals.proposal.support_label	Támogatás %{proposal}	%{proposal} támogatása	Support %{proposal}	human editorial revision
general.yml	proposals.proposal.supports.other	%{count} támogatja	%{count} támogatás	%{count} supports	human editorial revision
general.yml	proposals.proposal.votes.other	%{count} szavazatok	%{count} szavazat	%{count} votes	human editorial revision
general.yml	proposals.show.comments_tab	Megjegyzések	Hozzászólások	Comments	human editorial revision
general.yml	proposals.show.dashboard_proposal_link	Műszerfal	Javaslatkezelő felület	Dashboard	human editorial revision
general.yml	proposals.show.share	Részesedés	Megosztás	Share	human editorial revision
general.yml	proposals.show.embed_video_title	Videó az %{proposal}-on	Videó a(z) %{proposal} javaslathoz	Video on %{proposal}	human editorial revision
general.yml	proposals.show.draft	Javaslat tervezetben. Még nem kaphat támogatást, és nem is szerepel a javaslatok között.	Ez a javaslat még piszkozat. Nem kaphat támogatást, és nem jelenik meg a javaslatok között.	Proposal in draft. Cannot yet get supports, nor does it appear in the list of proposals.	human editorial revision
general.yml	dashboard.menu.my_proposal	Szerkessze az ajánlatomat	Javaslatom szerkesztése	Edit my proposal	human editorial revision
general.yml	dashboard.menu.progress	Előrehalad	Előrehaladás	Progress	human editorial revision
general.yml	dashboard.menu.resources	Erőforrás	Erőforrások	Resources	human editorial revision
general.yml	dashboard.menu.mailing	Email	E-mail	E-mail	human editorial revision
general.yml	dashboard.menu.poster	Poszter	Plakát	Poster	human editorial revision
general.yml	dashboard.menu.messages	Üzenet a felhasználóknak	Üzenetek a követőknek	Message to users	human editorial revision
general.yml	dashboard.form.request	Kér	Igénylés	Request	human editorial revision
general.yml	dashboard.progress.title	Grafikus	Előrehaladási diagram	Graphic	human editorial revision
general.yml	dashboard.progress.supports	Támogatja	Támogatások	Supports	human editorial revision
general.yml	dashboard.index.title	Kiadás	Javaslatkezelő felület	Edition	human editorial revision
general.yml	dashboard.poster.index.title	Plakát előnézet	Plakát előnézete	Poster preview	human editorial revision
general.yml	dashboard.mailer.forward.subtitle	Ha támogatsz, <br>el fogunk érni.	Ha támogatja, <br>megvalósíthatjuk.	If you support me, <br>we will achieve it.	human editorial revision
general.yml	dashboard.mailer.forward.share_in	Oszd meg	Ossza meg	Share in	human editorial revision
general.yml	dashboard.mailer.forward.hi	Helló!	Üdvözlöm!	Hello!	human editorial revision
general.yml	polls.dates	%{open_at}-től %{closed_at}-ig	%{open_at}–%{closed_at}	From %{open_at} to %{closed_at}	human editorial revision
general.yml	polls.final_date	Végső beszámolók/Eredmények	Végleges számlálás és eredmények	Final recounts/Results	human editorial revision
general.yml	polls.form.maximum_exceeded	kiválasztottál %{given} választ, de a maximum %{maximum}	%{given} választ jelölt meg, de legfeljebb %{maximum} válasz jelölhető meg.	you've selected %{given} answers, but the maximum you can select is %{maximum}	human editorial revision
general.yml	polls.index.geozone_restricted	kerületek	Kerületek	Districts	human editorial revision
general.yml	polls.index.unverified	A részvételhez igazolnia kell fiókját	A részvételhez ellenőriznie kell fiókját.	You must verify your account to participate	human editorial revision
general.yml	polls.index.cant_answer	Ez a szavazás nem érhető el az Ön geozónájában	Ez a szavazás az Ön földrajzi területén nem érhető el.	This poll is not available on your geozone	human editorial revision
general.yml	polls.index.section_header.icon_alt	Szavazás ikonra	Szavazás ikon	Voting icon	human editorial revision
general.yml	polls.index.section_footer.description	A polgári szavazások olyan részvételi mechanizmusok, amelyek révén a szavazati joggal rendelkező polgárok közvetlen döntéseket hozhatnak	A polgári szavazás olyan részvételi forma, amelyben a szavazati joggal rendelkező polgárok közvetlenül dönthetnek a feltett kérdésekről.	Citizens' polls are a participatory mechanism by which citizens with voting rights can make direct decisions	human editorial revision
general.yml	polls.show.already_voted_in_booth	Ön már részt vett egy fizikai standon. Nem vehetsz részt újra.	Ön már személyesen részt vett a szavazásban, ezért nem szavazhat újra.	You have already participated in a physical booth. You can not participate again.	human editorial revision
